stage,epoch,global_epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,lr_head,lr_backbone,epoch_seconds,trainable_parameters
head,1,1,2.0697894704421893,0.14723154362416108,2.0360539853572845,0.16796875,0.1871640468120541,0.1693338373655914,0.16585834371727912,3e-05,,44.278600192999875,10248
head,2,2,2.0072096090188762,0.19924496644295303,1.9876131266355515,0.244140625,0.2720031716573541,0.24326085960410557,0.24753447727671857,3e-05,,41.64847040600034,10248
head,3,3,1.9528456054277867,0.28859060402684567,1.9438713490962982,0.298828125,0.32658300480351315,0.2966073283235582,0.30156471998975243,3e-05,,41.82207376000042,10248
head,4,4,1.9069078352627338,0.33431208053691275,1.903032660484314,0.33984375,0.3573397091669669,0.3367710624389052,0.3369342178417054,3e-05,,40.8572809060006,10248
head,5,5,1.8669120337339056,0.36451342281879195,1.8647975772619247,0.37890625,0.3974504662004662,0.374586846285435,0.37115510507575716,3e-05,,39.72727223400034,10248
partial,1,6,1.8593238936174636,0.3972315436241611,1.7858963459730148,0.490234375,0.48778313271788853,0.48790857160312806,0.4845425275459007,3e-05,3e-05,43.35160912899937,3165988
partial,2,7,1.6357116011165131,0.6044463087248322,1.598652869462967,0.599609375,0.5982727698481123,0.5969108932062561,0.5904723183726791,3e-05,3e-05,42.13269956499971,3165988
partial,3,8,1.4351638075489326,0.6879194630872483,1.4095473140478134,0.66015625,0.6644440125322758,0.65790261485826,0.6538283152648756,3e-05,3e-05,44.0097164710005,3165988
partial,4,9,1.2219887323827552,0.7651006711409396,1.216891124844551,0.724609375,0.7299440092824773,0.723667369257087,0.721913599371526,3e-05,3e-05,42.962659110999994,3165988
partial,5,10,1.0388829172057594,0.8028523489932886,1.0476282015442848,0.767578125,0.7694236501388587,0.7669228830645162,0.7658887500814378,3e-05,3e-05,43.897508355000355,3165988
partial,6,11,0.8677666395302587,0.8296979865771812,0.9003289937973022,0.798828125,0.8013198425834772,0.7986887524437928,0.7978583992626452,3e-05,3e-05,43.941966862999834,3165988
partial,7,12,0.7233666533591764,0.8666107382550335,0.7709306702017784,0.837890625,0.8390556492980193,0.8382480296920821,0.837408705459477,3e-05,3e-05,42.23789063799995,3165988
partial,8,13,0.6055868099999908,0.8808724832214765,0.6685558333992958,0.84765625,0.8487864695935579,0.8480052541544477,0.8471349913780368,3e-05,3e-05,43.917644461000236,3165988
partial,9,14,0.5030874917971208,0.9018456375838926,0.5796216987073421,0.873046875,0.8748914449624818,0.8734310086754643,0.8730562452503052,3e-05,3e-05,43.9481427769997,3165988
partial,10,15,0.4127605477435477,0.9249161073825504,0.5047481432557106,0.876953125,0.8788900284764255,0.8775224523460411,0.8770817371368629,3e-05,3e-05,43.182706717000656,3165988
full,1,16,0.4927915214692186,0.8817114093959731,0.5479947291314602,0.853515625,0.8554391228254022,0.854460685483871,0.8520787081371383,3e-05,3e-05,47.71095843799958,4017796
full,2,17,0.3634032631080423,0.9219798657718121,0.5047785472124815,0.849609375,0.8534848656121844,0.8499072122434017,0.8473818339748849,3e-05,3e-05,43.46522428000026,4017796
full,3,18,0.2964805166593334,0.9333053691275168,0.4331006873399019,0.875,0.8769466283926595,0.8764021260997068,0.8739665307458103,3e-05,3e-05,44.5908230820005,4017796
full,4,19,0.24294381513691587,0.9496644295302014,0.4317823965102434,0.85546875,0.8576470770630371,0.8559682001466276,0.8533145802839777,3e-05,3e-05,45.90696193799977,4017796
full,5,20,0.20055732020995762,0.9526006711409396,0.39123091474175453,0.8671875,0.8688303080218516,0.8676434200879766,0.865392070054684,3e-05,3e-05,44.06074486699981,4017796
full,6,21,0.16857554808559033,0.9635067114093959,0.3732848400250077,0.869140625,0.8721039068757754,0.8696045637829912,0.8672212516042579,3e-05,3e-05,44.53702436000003,4017796
full,7,22,0.14323460955747822,0.9685402684563759,0.3817395307123661,0.865234375,0.8685747424099658,0.8654501160801564,0.8622642689503297,3e-05,3e-05,45.376316982999924,4017796
full,8,23,0.12067992275193233,0.9731543624161074,0.3656278783455491,0.87890625,0.8815548172512387,0.8795000152737048,0.877180019230871,3e-05,3e-05,44.10621983799956,4017796
full,9,24,0.1074604433554931,0.9815436241610739,0.33069462049752474,0.89453125,0.8971256211369024,0.8954598912512219,0.8938650726739944,3e-05,3e-05,45.81666718299948,4017796
full,10,25,0.09294162680638716,0.9819630872483222,0.32472072541713715,0.8984375,0.9021915989479992,0.899377978372434,0.8978915950653881,3e-05,3e-05,45.99386485600007,4017796
full,11,26,0.08319331045518785,0.9832214765100671,0.32301003113389015,0.900390625,0.9036542671863371,0.9010034824046921,0.8995949407510422,3e-05,3e-05,46.0897087229996,4017796
full,12,27,0.07059440281767174,0.9836409395973155,0.33635382913053036,0.87890625,0.8821620174285593,0.8793228402981428,0.8771030033817723,3e-05,3e-05,45.93025006699918,4017796
full,13,28,0.0738545650703795,0.9853187919463087,0.3152686432003975,0.890625,0.8938109397499125,0.891242439516129,0.8894706783896016,3e-05,3e-05,43.66614172200025,4017796
full,14,29,0.05671641605612415,0.9911912751677853,0.3127618972212076,0.90234375,0.9046841631877474,0.9032804099462366,0.9013522153389258,3e-05,3e-05,43.32434100200044,4017796
full,15,30,0.05092165684139969,0.9916107382550335,0.29984372248873115,0.900390625,0.9033363146273877,0.9011256720430108,0.8997772546147518,3e-05,3e-05,43.85595076000027,4017796
