Experiment,Architecture,Preprocessing,Augmentation,Optimizer,Learning Rate,Scheduler,Training Strategy,Best Epoch,Best Stage,Validation Accuracy,Validation Macro Precision,Validation Macro Recall,Validation Macro-F1,Weighted F1,ECE,Weakest Class F1,Inference ms/image,Parameter Count,Checkpoint Path,Checkpoint SHA256,Checkpoint Size,Metric Provenance,Verification Status,Notes
EXP-001,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,head 5ep blocks=0 -> partial 10ep blocks=3 -> full 15ep blocks=-1; batch 64; seed 42; AMP; select val f1_macro,9,partial,0.9004,0.9018,0.901,0.9004,0.9002,0.0555,Bacterial Red Disease 0.8293,9.004,4017796,drive_export/experiments/EXP-001/best_model.pth,050cdfe9d025a936736f64c701d45e208c97e8066e4a87b4b8eb7c81eb02f049,41778821,"results/experiments/EXP-001/metrics.csv (Colab T4 training log, 2026-09-12T11:37:37 UTC); results/experiments/EXP-001/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,metrics.csv best partial/9 = 0.900422; checkpoint.best_metric = 0.900422 (partial/9); local src.evaluate --split val on MPS = 0.900422 (device n/a)
EXP-002,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",no CLAHE -> Resize 256 -> CenterCrop 224 -> ImageNet norm,"crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,head 5ep blocks=0 -> partial 10ep blocks=3 -> full 15ep blocks=-1; batch 64; seed 42; AMP; select val f1_macro,10,partial,0.918,0.9207,0.9185,0.9182,0.918,0.0316,EUS Disease 0.8594,8.719,4017796,drive_export/experiments/EXP-002/best_model.pth,57ff933e2b38ba769baba23875059357df2f409bf1bb832bbf822dbad0ff8d2a,41778949,"results/experiments/EXP-002/metrics.csv (Colab T4 training log, 2026-09-12T16:58:44 UTC); results/experiments/EXP-002/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,metrics.csv best partial/10 = 0.918167; checkpoint.best_metric = 0.918167 (partial/10); local src.evaluate --split val on MPS = 0.918167 (device n/a)
EXP-003,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adam wd 0.0,head: head 0.001; finetune: head 1e-05 / backbone 1e-05,none,head 5ep blocks=0 -> finetune 25ep blocks=3; batch 64; seed 42; AMP; select val f1_macro,25,finetune,0.8789,0.8798,0.8798,0.8783,0.8781,0.0862,Bacterial Red Disease 0.7874,12.099,4017796,drive_export/experiments/EXP-003/best_model.pth,66ada9e2082b978139e2512bd968cd61609fa2b1545f8ac81e8c74f0c06aa97f,41782149,"results/experiments/EXP-003/metrics.csv (Colab T4 training log, 2026-09-12T17:13:22 UTC); results/experiments/EXP-003/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,metrics.csv best finetune/25 = 0.878269; checkpoint.best_metric = 0.878269 (finetune/25); local src.evaluate --split val on MPS = 0.878269 (device n/a)
EXP-004,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",sgd wd 0.0001 momentum 0.9,head: head 0.01; partial: head 0.01 / backbone 0.01; full: head 0.01 / backbone 0.01,StepLR step 5 gamma 0.1,head 5ep blocks=0 -> partial 10ep blocks=3 -> full 15ep blocks=-1; batch 64; seed 42; AMP; select val f1_macro,3,full,0.9336,0.9345,0.9347,0.933,0.9326,0.0215,EUS Disease 0.8500,10.483,4017796,drive_export/experiments/EXP-004/best_model.pth,3045a949ff54f383383cae2130d865eb9b832f1070724fb0495cd8b1ea0c0dae,32524991,"results/experiments/EXP-004/metrics.csv (Colab T4 training log, 2026-09-12T15:43:46 UTC); results/experiments/EXP-004/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,"metrics.csv best full/3 = 0.932986; checkpoint.best_metric = 0.932986 (full/3); local src.evaluate --split val on MPS = 0.932986 (device n/a); NOTE 0.904 = this run's full-stage epoch-2 val accuracy 0.904297 / F1 0.903504 (metrics.csv line 18), not its best"
EXP-005,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±0.0 brightness 0.2 contrast 0.2 saturation 0.2",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,head 5ep blocks=0 -> partial 10ep blocks=3 -> full 15ep blocks=-1; batch 64; seed 42; AMP; select val f1_macro,15,full,0.9336,0.9342,0.9343,0.9335,0.9329,0.0218,EUS Disease 0.8455,10.941,4017796,drive_export/experiments/EXP-005/best_model.pth,f3ac672d6a86a4161d9f589c868f21883e5b371aa17b72bbbe8d112445dc4b1a,48713901,"results/experiments/EXP-005/metrics.csv (Colab T4 training log, 2026-09-12T16:08:48 UTC); results/experiments/EXP-005/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,metrics.csv best full/15 = 0.933463; checkpoint.best_metric = 0.933463 (full/15); local src.evaluate --split val on MPS = 0.933463 (device n/a)
EXP-006,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adam wd 0.0,head: head 3e-05; partial: head 3e-05 / backbone 3e-05; full: head 3e-05 / backbone 3e-05,none,head 5ep blocks=0 -> partial 10ep blocks=3 -> full 15ep blocks=-1; batch 64; seed 42; AMP; select val f1_macro,14,full,0.9023,0.9047,0.9033,0.9014,0.9012,0.033,Bacterial Red Disease 0.8095,9.183,4017796,drive_export/experiments/EXP-006/best_model.pth,e28ad51df6399b51cb6299cbd6a750e1ee71a94b41b733ff23bc25021f39753b,48713709,"results/experiments/EXP-006/metrics.csv (Colab T4 training log, 2026-09-12T16:32:46 UTC); results/experiments/EXP-006/eval_val/metrics.json (local re-evaluation of best_model.pth, split=val); inference_benchmark.json (T4)",VERIFIED,metrics.csv best full/14 = 0.901352; checkpoint.best_metric = 0.901352 (full/14); local src.evaluate --split val on MPS = 0.901352 (device n/a)
