Experiment,Architecture,Paper Technique,Preprocessing,Augmentation,Optimizer,Learning Rate,Scheduler,Best Epoch,Best Stage,Validation Accuracy,Validation Macro Precision,Validation Macro Recall,Validation Macro-F1,Weighted F1,Weakest Class,Weakest Class F1,ECE,Inference ms/image,Parameter Count,Checkpoint Path,Verification Status
EXP-001,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",none (repository defaults),"CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,9,partial,0.9004,0.9018,0.901,0.9004,0.9002,Bacterial Red Disease,0.8293,0.0555,9.004,4017796,drive_export/experiments/EXP-001/best_model.pth,VERIFIED
EXP-002,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",P1/P4 preprocessing: CLAHE off,no CLAHE -> Resize 256 -> CenterCrop 224 -> ImageNet norm,"crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,10,partial,0.918,0.9207,0.9185,0.9182,0.918,EUS Disease,0.8594,0.0316,8.719,4017796,drive_export/experiments/EXP-002/best_model.pth,VERIFIED
EXP-003,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",P1 two-phase Adam fine-tuning,"CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adam wd 0.0,head: head 0.001; finetune: head 1e-05 / backbone 1e-05,none,25,finetune,0.8789,0.8798,0.8798,0.8783,0.8781,Bacterial Red Disease,0.7874,0.0862,12.099,4017796,drive_export/experiments/EXP-003/best_model.pth,VERIFIED
EXP-004,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",P4 optimiser: SGD 0.9 / lr 0.01 / StepLR,"CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",sgd wd 0.0001 momentum 0.9,head: head 0.01; partial: head 0.01 / backbone 0.01; full: head 0.01 / backbone 0.01,StepLR step 5 gamma 0.1,3,full,0.9336,0.9345,0.9347,0.933,0.9326,EUS Disease,0.8500,0.0215,10.483,4017796,drive_export/experiments/EXP-004/best_model.pth,VERIFIED
EXP-005,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)","P4 augmentation (flip, crop, jitter incl. saturation)","CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±0.0 brightness 0.2 contrast 0.2 saturation 0.2",adamw wd 0.0001,head: head 0.001; partial: head 0.0003 / backbone 3e-05; full: head 0.0003 / backbone 1e-05,none,15,full,0.9336,0.9342,0.9343,0.9335,0.9329,EUS Disease,0.8455,0.0218,10.941,4017796,drive_export/experiments/EXP-005/best_model.pth,VERIFIED
EXP-006,"torchvision EfficientNet-B0 IMAGENET1K_V1 + Dropout(0.2)->Linear(1280,8)",P3 Adam 3e-5,"CLAHE(2.0,8) -> Resize 256 -> CenterCrop 224 -> ImageNet norm","crop [0.8, 1.0] flip 0.5 rot ±15.0 brightness 0.2 contrast 0.2 saturation 0.0",adam wd 0.0,head: head 3e-05; partial: head 3e-05 / backbone 3e-05; full: head 3e-05 / backbone 3e-05,none,14,full,0.9023,0.9047,0.9033,0.9014,0.9012,Bacterial Red Disease,0.8095,0.033,9.183,4017796,drive_export/experiments/EXP-006/best_model.pth,VERIFIED
