stage,epoch,global_epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,lr_head,lr_backbone,epoch_seconds,trainable_parameters
head,1,1,1.440925181312049,0.4979026845637584,1.0789683312177658,0.640625,0.6618512812980671,0.6379169721407625,0.6384457923466984,0.01,,43.518416676000015,10248
head,2,2,0.8458624446152041,0.7445469798657718,0.8747777715325356,0.705078125,0.7161347475468923,0.7031677663734115,0.6992951755110456,0.01,,41.047044017999724,10248
head,3,3,0.6580615871704665,0.8057885906040269,0.7755303159356117,0.765625,0.7727188450402948,0.7660190615835777,0.7670805424047189,0.01,,40.634034640999744,10248
head,4,4,0.5707893467589513,0.8443791946308725,0.7144501246511936,0.77734375,0.782592719667414,0.7768183345552298,0.7757841750617571,0.01,,39.411714304999805,10248
head,5,5,0.5108570216486118,0.8598993288590604,0.6761381514370441,0.8046875,0.810278460228305,0.8045802022238514,0.8024937236242129,0.01,,40.45467348400007,10248
partial,1,6,0.6247284692405854,0.8418624161073825,0.49276163056492805,0.828125,0.8351188768378216,0.827603784824047,0.824132867973408,0.01,0.01,44.18825826200009,3165988
partial,2,7,0.2110925138796736,0.9475671140939598,0.3376715611666441,0.884765625,0.8854969686645641,0.8851974890029326,0.8842744578766571,0.01,0.01,41.96900964699989,3165988
partial,3,8,0.1104467289659801,0.9765100671140939,0.29599678609520197,0.888671875,0.8913315471104695,0.8888593597262953,0.8878382103191609,0.01,0.01,41.75737472799983,3165988
partial,4,9,0.07299240633545306,0.9865771812080537,0.28466332238167524,0.90625,0.9095127463144613,0.9064489400048876,0.9054457416648534,0.01,0.01,42.25458678699988,3165988
partial,5,10,0.05277144703889053,0.9886744966442953,0.251684476621449,0.916015625,0.9178275028541595,0.9162974248533724,0.9153689180558426,0.01,0.01,41.96562504299982,3165988
partial,6,11,0.043338373978465995,0.9924496644295302,0.2556162094697356,0.91796875,0.9205667592382714,0.9184357435239492,0.9180832191284287,0.001,0.001,41.84029705000012,3165988
partial,7,12,0.04502398728224255,0.9920302013422819,0.2623731135390699,0.912109375,0.9147719896811949,0.9124465420332356,0.9115024477044092,0.001,0.001,41.33825575999981,3165988
partial,8,13,0.04327436409040585,0.9899328859060402,0.26180433109402657,0.912109375,0.9167500115967013,0.9123793377321603,0.9121072990410733,0.001,0.001,39.43886035699961,3165988
partial,9,14,0.039716078130990866,0.9932885906040269,0.25212500570341945,0.91015625,0.9124670894997067,0.9105526026392962,0.9096433892069153,0.001,0.001,41.16618219100019,3165988
partial,10,15,0.038047132451062234,0.9924496644295302,0.24914094107225537,0.91015625,0.9116494374056587,0.9105526026392962,0.909330247180438,0.001,0.001,41.64620321300026,3165988
full,1,16,0.12716315996726887,0.9677013422818792,0.30739473830908537,0.90625,0.9096798403027224,0.9075016801075269,0.9054377904925557,0.01,0.01,47.42461426199952,4017796
full,2,17,0.05425713921353321,0.989513422818792,0.29914043517783284,0.904296875,0.9057898010744327,0.9049887738269795,0.9035039490567743,0.01,0.01,41.146428443999866,4017796
full,3,18,0.04669897168274694,0.9903523489932886,0.21609147312119603,0.93359375,0.934476159672191,0.9346911656891496,0.9329857048452457,0.01,0.01,43.01705043000038,4017796
full,4,19,0.035224441951453286,0.9903523489932886,0.25171287218108773,0.92578125,0.9267789450784383,0.9266304679863148,0.9255965283640741,0.01,0.01,44.223645084000054,4017796
full,5,20,0.0245353219243104,0.9945469798657718,0.2471331232227385,0.923828125,0.9247890234120499,0.924492149315738,0.9233555950195121,0.01,0.01,42.86614007299977,4017796
full,6,21,0.019386388117685015,0.9966442953020134,0.24415728426538408,0.9296875,0.9306452723318214,0.9301739674975562,0.9293501739338601,0.001,0.001,41.5259575959999,4017796
full,7,22,0.01610045381915449,0.9987416107382551,0.2702728006988764,0.908203125,0.9103233500231982,0.908961846285435,0.9073443063836124,0.001,0.001,43.17166411800008,4017796
full,8,23,0.017152867711230414,0.9966442953020134,0.2674413251224905,0.91015625,0.9123267183875982,0.9112345735581623,0.9096168565528199,0.001,0.001,43.00969667499976,4017796
full,9,24,0.015241574364770579,0.9979026845637584,0.2495195590890944,0.916015625,0.9176685149882877,0.9169163917399804,0.9155328517604157,0.001,0.001,42.901729350000096,4017796
full,10,25,0.01898338204412252,0.9949664429530202,0.25384815118741244,0.912109375,0.913976939635277,0.9131285129521016,0.9115271783094754,0.001,0.001,41.79600448600013,4017796
full,11,26,0.01550913533358366,0.9979026845637584,0.25653943163342774,0.9140625,0.9163694778185771,0.9150816379521016,0.9136991019987266,0.0001,0.0001,42.06558302299982,4017796
full,12,27,0.01526420192180464,0.9983221476510067,0.2741480947006494,0.91015625,0.911860801764321,0.9112345735581623,0.9092222093217803,0.0001,0.0001,42.915576540000075,4017796
full,13,28,0.0177527248621887,0.9966442953020134,0.2575288489460945,0.91796875,0.9194736954220973,0.9188103311339199,0.9176201059470019,0.0001,0.0001,43.18459478099976,4017796
full,14,29,0.014485075344775347,0.9983221476510067,0.2654090925352648,0.912109375,0.914382203092011,0.9131285129521016,0.9116526697779641,0.0001,0.0001,42.7814137940004,4017796
full,15,30,0.019008972550798583,0.9953859060402684,0.26388020999729633,0.91015625,0.9122362544339222,0.9112345735581623,0.9094604574605518,0.0001,0.0001,41.56424946400057,4017796
